product_name,url,selector,type
100g Valcambi Gold Bar,https://tavex.bg/en/gold/100g-valcambi-gold-bar/,.product-poster__price-value.js-product-price-from,static
Boox Go Color 7,https://www.citytel.bg/elektronen-chetec-boox-go-color-7-gen-2-black,.price,static
50g Valcambi Gold Bar, https://tavex.bg/en/gold/50g-valcambi-gold-bar/,.product-poster__price-value.js-product-price-from,static
1 oz Valcambi Gold Bars, https://tavex.bg/en/gold/1oz-gold-bar-valcambi/,.product-poster__price-value.js-product-price-from,static
sports gene,https://www.ciela.com/sportniyat-gen.html,#product-price-89687 .price,static
Certina C0364071105001,https://julliany.com/produkti/certina-c0364071105001,#upper_price,dynamic
Колекция Игра на тронове,https://www.ozone.bg/product/kolekcija-igra-na-tronove/,#product-price-33953,static
Pocketbook Basic Lux 4,https://ardes.bg/product/pocketbook-basic-lux-4-pb618-6-8gb-cheren-pb618-p-ww-349747,#price-tag,dynamic
Lenovo M11, https://ardes.bg/product/lenovo-tab-m11-luna-grey-zada0293gr-435060, #price-tag, dynamic
Honor X9a, https://ardes.bg/product/honor-pad-x9a-space-gray-6936520864713-479436, #price-tag, dynamic
